asset_class,symbol,tf,group,spec,entry,direction,exit,gate,sharpe,sortino,max_dd,months_in_profit,ann_turnover,total_return,n_obs
crypto,BTCUSDT,1d,entry,"ema|fast20,slow100|reversal|ls",ema,ls,reversal,-,0.481,0.623,-0.3285,0.5,2.5,0.7598,3271
crypto,BTCUSDT,1d,entry,"ema|fast50,slow200|reversal|ls",ema,ls,reversal,-,0.552,0.74,-0.3636,0.528,1.6,0.9452,3271
crypto,BTCUSDT,1d,entry,"ema|fast100,slow300|reversal|ls",ema,ls,reversal,-,0.386,0.507,-0.3831,0.5,1.3,0.5395,3271
crypto,BTCUSDT,1d,entry,"sma|fast50,slow200|reversal|ls",sma,ls,reversal,-,0.33,0.429,-0.2776,0.463,1.8,0.4159,3271
crypto,BTCUSDT,1d,entry,tsmom|lookback30|reversal|ls,tsmom,ls,reversal,-,0.812,1.185,-0.2446,0.537,16.5,1.8038,3271
crypto,BTCUSDT,1d,entry,tsmom|lookback90|reversal|ls,tsmom,ls,reversal,-,0.414,0.544,-0.3037,0.472,7.7,0.6035,3271
crypto,BTCUSDT,1d,entry,"macd|fast12,slow26|reversal|ls",macd,ls,reversal,-,0.517,0.754,-0.3042,0.62,14.3,0.8533,3271
crypto,BTCUSDT,1d,entry,donchian|lookback55|reversal|ls,donchian,ls,reversal,-,0.363,0.504,-0.2419,0.463,2.5,0.493,3271
crypto,BTCUSDT,1d,entry,blend|ls,blend,ls,-,-,0.666,0.867,-0.1249,0.454,2.1,0.6164,3271
crypto,BTCUSDT,1d,entry,strength|ls,strength,ls,-,-,0.727,0.97,-0.1485,0.435,6.1,0.9629,3271
crypto,BTCUSDT,1d,direction,"ema|fast50,slow200|reversal|long_only",ema,long_only,reversal,-,0.659,0.689,-0.2433,0.352,0.9,0.9738,3271
crypto,BTCUSDT,1d,direction,"ema|fast50,slow200|reversal|short_only",ema,short_only,reversal,-,0.028,0.024,-0.3455,0.213,0.7,-0.0144,3271
